ALIES,RECURS,DATA,HORA,MINUT
Lenna,Overhold,19/2/2021,15,24
Cheri,Mat Lam Tam,9/11/2021,5,43
Sidonnie,Solarbreeze,9/1/2021,15,5
Maxy,Rank,25/10/2021,10,21
Ed,Opela,6/7/2021,24,19
Maudie,Job,16/8/2021,12,30
Catlee,Tempsoft,22/9/2020,17,5
Rhodie,Alpha,7/7/2021,2,2
Brit,Otcom,25/4/2021,4,55
Garek,Cardify,24/6/2021,6,25
Connor,Zoolab,2/7/2021,5,6
Arlyn,Aerified,31/12/2020,3,43
Jamesy,Stronghold,25/6/2021,24,4
Frank,Konklux,26/11/2021,10,35
Bethina,Tres-Zap,20/7/2021,17,21
Harmonia,Biodex,27/5/2021,4,2
Rowen,Daltfresh,1/12/2020,6,13
Missie,Biodex,9/2/2021,23,14
Jefferey,Ronstring,4/6/2021,23,57
Jerad,Konklab,1/11/2021,15,37
Ally,Otcom,26/11/2020,6,40
Cherilyn,Tempsoft,30/1/2021,10,36
Melonie,Hatity,20/1/2021,7,41
Sammie,Stim,2/12/2021,20,3
Terrie,Toughjoyfax,30/3/2021,13,57
Quint,Zathin,4/5/2021,2,56
Baird,Biodex,19/11/2021,17,38
Bessie,Sonair,10/10/2021,19,8
Herve,Zontrax,30/11/2021,12,42
Dion,Fix San,5/9/2020,10,41
Daniele,Redhold,30/4/2021,9,0
Arleen,Wrapsafe,3/11/2020,20,6
Waly,Y-find,15/6/2021,6,51
Wittie,Keylex,29/3/2021,0,32
Jere,Ronstring,16/3/2021,1,29
Camile,Regrant,11/5/2021,13,9
Lynda,Quo Lux,2/8/2021,11,7
Tarrah,Zaam-Dox,10/5/2021,7,41
Misha,Zontrax,10/12/2020,3,8
Carina,Aerified,13/12/2021,18,20
Vaughn,Domainer,14/2/2021,8,3
Dillie,Wrapsafe,9/5/2021,7,18
Jordain,Zaam-Dox,26/6/2021,11,15
Lenna,Gembucket,4/10/2020,15,57
Cheri,Zoolab,24/10/2021,19,17
Page,Biodex,22/1/2021,7,54
Cybil,Holdlamis,25/9/2021,11,57
Frank,Greenlam,29/3/2021,1,23
Penelope,Pannier,1/12/2020,24,7
Bo,Stim,31/5/2021,1,35
Berta,Bitchip,8/4/2021,22,43
Lenna,Bytecard,6/12/2021,13,14
Cheri,Ventosanzap,31/5/2021,12,6
Barnie,Tin,4/11/2021,16,10
Evelyn,Bamity,9/9/2020,8,7
Frederich,Tampflex,4/3/2021,19,54
Laetitia,Bigtax,9/10/2021,14,24
Kaila,Matsoft,20/5/2021,9,11
Phillipe,Bitwolf,6/10/2020,17,32
Lenna,Asoka,24/9/2020,6,38
Rosemary,Daltfresh,10/12/2021,14,56
Tamiko,Solarbreeze,1/10/2020,20,17
Madonna,Regrant,24/7/2021,3,41
Claiborn,Mat Lam Tam,5/9/2020,10,11
Frank,Opela,4/12/2020,10,21
Car,Zontrax,18/2/2021,4,48
Yul,Overhold,10/11/2020,18,13
Olympie,Stim,11/12/2020,23,8
Jory,Biodex,20/9/2020,7,0
Lenna,Fintone,27/2/2021,3,43
Kevan,Konklux,12/4/2021,21,24
Davine,Voltsillam,7/11/2020,1,53
Pamelina,Biodex,1/12/2020,3,46
Laurent,Toughjoyfax,14/11/2020,6,6
Missie,Sonsing,23/4/2021,13,47
Cyrus,Overhold,31/3/2021,4,45
Malvin,Namfix,17/5/2021,10,18
Lenna,Otcom,25/9/2021,9,51
Averil,Alphazap,1/3/2021,1,51
Kane,Duobam,23/1/2021,8,10
Valma,Job,29/8/2021,7,49
Clim,Redhold,12/8/2021,2,17
Jarib,It,15/12/2020,22,43
Arda,Overhold,20/1/2021,24,41
Craggie,Home Ing,12/12/2020,10,7
Paige,Bigtax,13/7/2021,23,32
Blondelle,Opela,1/9/2021,10,23
Diego,Stringtough,28/10/2021,24,0
Kathi,Zathin,13/6/2021,19,5
Missie,Keylex,18/6/2021,21,33
Lenna,Tin,8/1/2021,0,8
Lonee,Fix San,30/4/2021,20,25
Arleyne,Sonair,21/12/2020,1,7
Ardyce,Biodex,23/7/2021,18,31
Pandora,Subin,6/12/2020,23,59
Shanie,Sonsing,25/9/2020,23,24
Kirby,Home Ing,3/12/2021,17,41
Sayer,Veribet,15/9/2020,13,15
Herculie,Aerified,20/11/2020,18,24
Lenna,Pannier,2/6/2021,10,6
Henka,Rank,28/9/2020,19,5
Rube,Biodex,23/8/2021,23,39
Lisle,Vagram,2/10/2021,8,32
Tulley,Ventosanzap,3/5/2021,17,11
Betty,Keylex,4/11/2021,10,14
Connor,Tampflex,9/12/2020,10,40
Atalanta,Kanlam,20/3/2021,5,36
Harmonia,Regrant,28/9/2021,15,12
Ranna,Alpha,26/9/2021,8,27
Selestina,Zontrax,26/11/2020,10,53
Shea,Flowdesk,18/1/2021,20,11
Tiertza,Opela,10/12/2021,2,1
Connor,Home Ing,19/8/2021,14,16
Andres,Mat Lam Tam,2/3/2021,24,28
Kennett,Trippledex,15/10/2021,2,0
Loralie,Zathin,7/7/2021,17,35
Connor,Namfix,25/3/2021,18,47
Christalle,Keylex,4/8/2021,17,20
Dannye,Alpha,23/2/2021,16,16
Harmonia,Domainer,8/11/2020,8,6
Onfroi,Stringtough,29/5/2021,13,30
Marthe,Bigtax,1/10/2020,11,4
Dorthy,Tresom,27/9/2020,5,59
Madonna,Zamit,29/10/2020,13,38
Connor,Daltfresh,16/9/2020,2,40
Sayer,Hatity,19/8/2021,17,17
Maud,Bamity,2/12/2021,3,11
Lenna,Alpha,20/2/2021,3,28
Ingrim,Cardguard,28/8/2021,2,6
Hilde,Subin,1/7/2021,13,1
Valaria,Rank,12/9/2021,14,25
Jard,Stringtough,18/10/2021,4,24
Cheri,Fintone,5/9/2020,3,35
Lenna,Trippledex,17/11/2021,5,33
Maurizia,Sub-Ex,6/11/2021,8,22
Standford,Fix San,15/10/2020,17,46
Idelle,Lotlux,26/12/2020,16,48
Cheri,Y-Solowarm,29/5/2021,13,5
Ally,Andalax,4/11/2021,5,53
Jefferey,Opela,7/11/2021,18,11
Talyah,Prodder,28/3/2021,17,25
Veriee,Biodex,1/11/2020,10,26
Harrie,Mat Lam Tam,8/1/2021,22,18
Ally,Stronghold,5/7/2021,6,2
Rafa,It,25/11/2020,4,31
Lorenzo,Konklab,28/3/2021,9,22
Bird,Domainer,24/10/2021,13,38
Berne,Bigtax,21/6/2021,21,20
Frank,Pannier,28/11/2020,7,52
Stephana,Veribet,12/1/2021,3,40
Ania,Vagram,17/7/2021,8,30
Cheri,Stronghold,23/11/2020,3,45
Joane,Lotlux,14/10/2020,16,23
Torre,Lotlux,4/7/2021,19,12
Hersch,Biodex,19/8/2021,11,11
Alikee,Cardguard,11/4/2021,15,59
Enrichetta,Bitchip,5/12/2021,4,1
Ally,Viva,8/11/2020,2,14
Merrel,Zontrax,23/9/2021,18,13
Eberto,Sonsing,26/2/2021,0,9
Aretha,Quo Lux,30/10/2021,0,8
See,Konklab,14/12/2020,5,18
Paige,Andalax,30/1/2021,3,55
Lorens,Quo Lux,23/12/2020,9,50
Nydia,Flowdesk,3/5/2021,18,13
Rupert,Konklux,21/9/2020,10,30
Westleigh,Otcom,8/7/2021,18,27
Berny,Treeflex,13/6/2021,12,9
Jeanine,Lotlux,9/2/2021,21,19
Georgianne,Fixflex,8/7/2021,8,32
Nickie,Tempsoft,29/3/2021,13,33
Nappie,Namfix,5/11/2021,11,53
Marlena,Duobam,21/2/2021,24,7
Derry,Vagram,25/11/2021,19,38
Elyse,Fintone,28/1/2021,16,18
Jewelle,Namfix,15/3/2021,13,28
Lenna,Stim,30/1/2021,6,17
Missie,Sonair,18/3/2021,13,45
Franni,Holdlamis,9/10/2020,16,15
Eadie,Pannier,14/9/2020,19,33
Star,Konklab,5/9/2021,15,13
Lenna,Kanlam,10/8/2021,17,5
Ekaterina,Fixflex,15/10/2020,12,47
Gwennie,Biodex,1/6/2021,16,2
Cherish,Lotlux,30/11/2020,16,31
Swen,Aerified,28/8/2021,1,40
Mirabelle,Sub-Ex,3/4/2021,19,58
Missie,Stronghold,14/7/2021,23,31
Carlotta,Zathin,11/4/2021,3,0
Hillyer,Ronstring,15/12/2020,6,50
Lenna,Bitwolf,7/10/2021,1,33
Shayna,Sonair,13/11/2021,23,42
Milicent,Daltfresh,14/5/2021,9,6
Lovell,Zathin,30/9/2020,20,45
Rocky,Aerified,16/9/2020,14,39
Obie,Fintone,2/5/2021,2,42
Mandi,Keylex,2/4/2021,4,49
Lenna,Prodder,9/9/2021,21,47
Buffy,Tampflex,8/9/2020,24,0
Kirk,Quo Lux,22/7/2021,24,50
Alma,Overhold,23/1/2021,16,31
Armand,Hatity,1/12/2020,0,32
Gaby,Trippledex,25/7/2021,6,53
Jacynth,Opela,4/6/2021,8,13
Blondelle,Konklux,26/10/2020,9,23
Maddalena,Prodder,7/11/2021,24,27
Eugenio,Veribet,5/11/2020,13,3
Jose,Overhold,7/12/2021,20,45
Connor,Tempsoft,9/6/2021,7,56
Edythe,Veribet,27/3/2021,17,39
Ainslie,Asoka,25/9/2021,13,54
Jasen,Quo Lux,14/4/2021,20,28
Ingra,Tin,13/10/2021,22,47
Kattie,Cookley,15/11/2021,1,36
Raf,Ronstring,25/6/2021,1,6
Amos,Wrapsafe,13/3/2021,3,38
Gwenette,Y-find,31/10/2021,11,47
Terri-jo,Latlux,5/11/2021,16,53
Connor,Lotlux,14/10/2020,0,53
Abigail,Treeflex,25/1/2021,19,56
Lanny,Duobam,25/10/2021,23,52
Miller,Cardguard,11/12/2020,23,29
Igor,Konklux,29/10/2020,11,16
Bernelle,Toughjoyfax,27/10/2021,18,41
Hagan,Voltsillam,23/10/2020,20,32
Elvera,Lotlux,2/11/2020,6,17
Nomi,Ronstring,23/10/2021,23,32
Wolfie,Regrant,21/9/2021,15,28
Cornelius,Vagram,3/11/2020,4,28
Cheri,Overhold,6/6/2021,16,46
Olia,Pannier,13/8/2021,8,8
Joellyn,Duobam,21/3/2021,2,31
Alexandro,Zamit,18/9/2021,10,34
Wileen,Namfix,11/5/2021,0,58
Pete,Fix San,15/2/2021,17,49
Cheri,Quo Lux,27/10/2021,16,55
Harmonia,Mat Lam Tam,4/11/2021,15,59
Sibilla,Daltfresh,29/11/2020,3,47
Sephira,Alpha,21/11/2020,0,20
Xylia,Bigtax,22/3/2021,11,16
Leora,Home Ing,9/7/2021,14,39
Frank,Temp,10/9/2020,22,30
Lenna,Andalax,1/12/2020,4,14
Harmonia,Ventosanzap,22/10/2021,6,10
Jefferey,Lotstring,14/4/2021,21,28
Neille,Span,7/2/2021,4,25
Agosto,Konklab,17/1/2021,5,21
Lita,Transcof,17/1/2021,22,52
Ilaire,Asoka,12/8/2021,16,26
Lenna,Zaam-Dox,11/7/2021,16,37
Cheri,Trippledex,21/8/2021,14,28
Karolina,Opela,4/9/2020,10,20
Sammy,Andalax,28/10/2020,18,27
Adele,Alpha,14/10/2021,16,24
Harmonia,Zontrax,5/3/2021,20,48
Tatiana,Y-Solowarm,20/11/2021,23,52
Skipp,Duobam,18/11/2021,1,16
Lenna,Flexidy,11/9/2021,18,38
Angelica,Domainer,2/6/2021,12,31
Tiebout,Y-find,20/11/2021,19,24
Cordell,Flowdesk,17/9/2021,8,32
Ruby,Stronghold,26/9/2021,10,31
Deirdre,Redhold,28/9/2020,15,47
Ealasaid,Job,30/9/2021,0,51
Akim,Tin,28/9/2020,3,51
Oona,Bamity,14/9/2021,22,53
Augustine,Sonair,4/10/2021,2,24
Maury,Gembucket,22/9/2020,15,5
Zacharia,Cardify,20/9/2021,13,17
Danni,Flexidy,11/4/2021,13,48
Alf,Subin,25/7/2021,15,56
Thalia,Mat Lam Tam,3/7/2021,2,55
Ynes,Ventosanzap,20/8/2021,11,31
Godard,Keylex,30/9/2020,0,31
Conrado,Sonsing,13/7/2021,10,48
Jaquelyn,Bitchip,7/9/2020,4,56
Odille,Bigtax,29/8/2021,15,46
Sybyl,Wrapsafe,10/1/2021,9,39
Guillema,Biodex,30/10/2020,6,0
Mannie,Bitchip,14/5/2021,6,5
Blakeley,Gembucket,4/11/2021,4,56
Archaimbaud,Span,8/7/2021,3,28
Angelika,Latlux,12/10/2020,11,52
Gypsy,Zontrax,24/2/2021,0,39
Gwyneth,Stronghold,12/8/2021,22,8
Orelle,Transcof,19/1/2021,1,6
Henderson,Greenlam,7/3/2021,8,4
Theresina,Matsoft,28/8/2021,22,28
Adina,Treeflex,31/3/2021,3,43
Mikel,Konklab,8/9/2021,0,1
Anetta,Temp,2/11/2021,11,33
Clark,Tempsoft,31/1/2021,4,5
Silva,Alphazap,13/1/2021,24,30
Dodi,Flexidy,21/9/2020,12,21
Missie,Greenlam,30/10/2021,21,4
Jeannie,Y-Solowarm,12/8/2021,20,59
Jory,Namfix,21/8/2021,14,15
Jonah,Stronghold,17/9/2020,7,38
Gabriello,Wrapsafe,8/12/2020,10,14
Missie,Bamity,11/1/2021,19,52
Shalna,Namfix,18/11/2020,22,50
Kenna,Domainer,6/10/2021,17,0
Ally,Pannier,1/3/2021,13,8
Rana,Lotstring,30/6/2021,7,48
Willie,Prodder,8/10/2021,6,36
Arlette,Asoka,12/5/2021,8,9
Cherice,Vagram,7/9/2021,23,58
Jane,Transcof,27/10/2020,3,57
Waite,Tin,11/10/2020,23,20
Brendon,Y-Solowarm,18/11/2020,22,17
Gerik,Cookley,24/9/2021,7,4
Lenna,Fixflex,20/9/2020,19,48
Madelle,Wrapsafe,18/12/2020,16,40
Ally,It,11/7/2021,18,49
Chevalier,Vagram,24/10/2021,0,16
Nelie,Konklab,14/1/2021,14,52
Titus,Bytecard,4/6/2021,21,56
Selie,Subin,21/12/2020,6,28
Lenna,Asoka,25/12/2020,9,24
Penrod,Latlux,10/7/2021,7,16
Reider,Bitchip,8/9/2021,6,6
Guillermo,Opela,22/1/2021,14,21
Ben,Stim,20/10/2021,7,38
Mallory,Duobam,2/3/2021,18,57
Ashely,Job,22/7/2021,16,28
Lenna,Tampflex,16/1/2021,0,8
Dan,Bytecard,18/10/2020,6,40
Godard,Greenlam,17/10/2020,4,54
Cheri,Bigtax,23/6/2021,11,13
Bride,Konklux,19/1/2021,6,19
Jeniffer,Stim,5/10/2020,22,10
Yalonda,Overhold,1/7/2021,24,24
Christabella,Tres-Zap,12/12/2020,16,39
Letitia,Flowdesk,9/5/2021,14,15
Cheri,Greenlam,20/9/2021,7,29
Jan,Andalax,24/11/2021,10,55
Connie,Tempsoft,25/8/2021,13,56
Carroll,Lotstring,27/2/2021,21,30
Kimbell,Overhold,4/7/2021,14,18
Camilla,Transcof,13/9/2020,17,5
Paul,Kanlam,13/12/2020,2,50
Rosalynd,Fix San,4/12/2021,20,33
Michale,Regrant,26/2/2021,10,43
Elly,Sub-Ex,3/9/2021,3,25
Marylinda,Daltfresh,9/11/2021,16,46
Doloritas,Holdlamis,7/11/2020,20,44
Farrand,Home Ing,9/4/2021,1,47
Dugald,Cardify,24/11/2020,23,59
Cheri,Matsoft,17/6/2021,0,0
Emilia,Greenlam,16/5/2021,7,17
Colin,Konklab,28/5/2021,6,45
Katusha,Transcof,30/11/2020,11,45
Donella,Lotlux,11/10/2021,24,47
Myrtice,Span,2/10/2020,17,44
Charles,It,31/10/2020,17,7
Celinda,Daltfresh,22/11/2021,11,43
Casar,Zamit,3/9/2021,2,23
Selie,Tampflex,9/3/2021,13,4
Farr,Asoka,4/4/2021,17,57
Terrijo,Solarbreeze,13/9/2020,17,23
Arden,Cardguard,13/12/2020,6,3
Grantley,Bitwolf,30/11/2021,23,34
Bowie,Bitchip,8/6/2021,20,2
Hildy,Latlux,27/7/2021,13,34
Jefferey,Span,8/9/2021,15,49
Harmonia,Konklab,16/9/2020,18,33
Saw,Fix San,7/7/2021,1,34
Gillie,Vagram,22/8/2021,4,2
Monte,Gembucket,10/4/2021,1,37
Joy,Zoolab,7/11/2020,10,46
Frank,Voltsillam,2/11/2020,3,22
Connor,Alpha,5/1/2021,13,25
Abra,Daltfresh,10/12/2020,18,36
Vincenty,Bitchip,30/3/2021,20,46
Jefferey,Tempsoft,4/3/2021,13,24
Harmonia,Flowdesk,22/10/2020,22,14
Justine,Bamity,11/7/2021,14,49
Connor,Tresom,5/9/2020,2,42
Frank,Treeflex,6/12/2021,22,40
Yank,Alpha,1/2/2021,22,14
Gerhardine,Home Ing,7/11/2020,2,52
Gail,Voltsillam,18/11/2020,16,20
Harmonia,It,14/11/2021,4,19
Morganne,Alpha,12/11/2020,8,22
Oralia,Pannier,27/3/2021,14,48
Reyna,Stringtough,23/11/2020,14,38
Clara,Alphazap,16/8/2021,15,14
Skippy,Zathin,27/12/2020,22,45
Kalina,Overhold,9/9/2021,18,2
Thaddeus,Wrapsafe,12/10/2021,12,26
Adiana,Trippledex,21/2/2021,13,34
Corri,Bitchip,26/9/2021,15,39
Gwenore,Duobam,1/1/2021,7,56
Horatius,Zaam-Dox,28/4/2021,20,12
Livia,Rank,10/9/2021,4,52
Vilhelmina,Zaam-Dox,21/9/2020,13,7
Chaim,Sonsing,27/4/2021,5,5
Delainey,Biodex,18/11/2020,11,40
Galina,Tres-Zap,16/12/2020,20,12
Jody,Cardguard,10/9/2021,23,44
Cami,Stronghold,13/7/2021,2,8
Hertha,Temp,26/9/2021,20,40
Caryl,Biodex,3/4/2021,14,52
Graham,Vagram,7/6/2021,1,10
Maximo,Namfix,30/12/2020,21,6
Clem,Sub-Ex,26/9/2021,19,8
Ramon,Trippledex,22/6/2021,2,30
Jinny,Zontrax,18/7/2021,22,42
Jonathan,Biodex,2/12/2020,20,0
Risa,Andalax,30/9/2020,14,13
Noelani,Opela,19/10/2021,4,1
Zachary,Prodder,29/7/2021,18,5
Alina,Regrant,31/8/2021,18,26
Peder,Voltsillam,28/1/2021,6,26
Chalmers,Viva,12/12/2020,14,28
Mureil,Ronstring,8/10/2020,18,20
Piggy,Tresom,27/12/2020,0,27
Alistair,Bitwolf,8/8/2021,9,20
Ellis,Veribet,6/11/2021,8,15
Lenka,Keylex,9/5/2021,16,0
Alecia,Matsoft,12/8/2021,10,19
Tisha,Voltsillam,29/8/2021,15,35
Jud,Trippledex,7/9/2021,9,20
Georgy,Konklux,24/8/2021,20,16
Audrye,Stim,19/3/2021,7,52
Erick,Daltfresh,1/12/2021,3,46
Gasparo,Viva,9/6/2021,1,16
Gloriana,Subin,27/10/2021,17,15
Cheri,Latlux,19/1/2021,17,21
Krispin,Overhold,8/2/2021,22,38
Ally,Viva,26/8/2021,9,58
Missie,Tampflex,2/9/2020,20,51
Bryant,Treeflex,20/1/2021,0,27
Jack,Stringtough,6/10/2020,19,12
Janina,Transcof,9/12/2021,24,29
Lenna,Vagram,5/9/2021,20,1
Cheri,Overhold,14/7/2021,11,16
Niles,Overhold,10/11/2021,12,44
Damien,Rank,14/6/2021,12,5
Ally,Greenlam,7/3/2021,16,56
Caitlin,Tin,13/1/2021,0,5
Jessee,Stim,14/9/2021,10,25
Lenna,Cardguard,13/7/2021,8,19
Cheri,Bitchip,22/11/2021,8,18
Hortensia,Holdlamis,23/11/2020,0,35
Luis,Duobam,1/3/2021,7,53
Ally,Duobam,11/9/2020,1,21
Jesus,Kanlam,1/12/2020,14,4
Michelle,Asoka,27/10/2021,17,39
Marcelia,Transcof,7/1/2021,5,19
Patrica,Transcof,28/7/2021,22,42
Lenna,Bytecard,2/11/2020,18,13
Gilda,Voltsillam,22/11/2020,6,1
Ulrich,Redhold,28/10/2021,14,10
Margery,Zoolab,19/12/2020,11,25
Lyndsay,Span,17/10/2020,17,37
Phyllis,Flowdesk,16/1/2021,19,40
Keene,Home Ing,4/1/2021,20,38
Laughton,Ventosanzap,7/5/2021,1,11
Aurel,Viva,12/11/2021,12,36
Darbie,Biodex,30/12/2020,0,32
Daisey,Viva,9/11/2021,13,39
Harmonia,Job,5/2/2021,2,58
Ailis,Voltsillam,14/11/2020,15,48
Gardener,Stronghold,7/11/2020,21,47
Bayard,Solarbreeze,22/11/2021,5,5
Agneta,Stim,18/11/2021,12,44
Jefferey,Lotstring,1/9/2020,9,37
Harmonia,Holdlamis,19/11/2021,13,24
Darrelle,Keylex,20/3/2021,14,15
Cristine,Namfix,30/5/2021,16,2
Wilton,Tin,16/4/2021,1,34
Godfrey,Tres-Zap,24/10/2021,3,33
Connor,Toughjoyfax,5/11/2021,23,17
Minna,Regrant,10/11/2020,22,47
Avrit,Voltsillam,19/9/2020,19,22
Burtie,Stronghold,26/9/2021,4,54
Harmonia,Temp,30/3/2021,23,0
Winne,It,9/3/2021,10,20
Isiahi,Matsoft,21/7/2021,22,18
Madelon,Fix San,19/7/2021,17,47
Freddie,Prodder,8/11/2021,6,22
Grace,Bytecard,7/9/2020,2,18
Latrina,Domainer,12/3/2021,10,14
Cass,Cookley,13/6/2021,23,37
Lucretia,Cardguard,6/12/2021,13,59
Berry,Duobam,17/6/2021,8,50
Maggee,Sonair,3/6/2021,13,8
Aubrette,Y-Solowarm,31/7/2021,1,12
Zorana,Fix San,9/3/2021,2,26
Rasla,Keylex,25/10/2021,13,53
Tatiana,Gembucket,24/1/2021,11,11
Lilly,Viva,9/12/2020,1,55
Mariel,Redhold,6/4/2021,15,24
Lyndsay,Gembucket,28/3/2021,8,33
Carma,Bigtax,25/7/2021,7,56
Adelaida,Biodex,12/5/2021,21,27
Marty,Latlux,21/9/2021,6,53
Fiona,Ronstring,3/7/2021,0,14
Briant,Lotstring,20/11/2020,14,53
Bethena,Mat Lam Tam,21/8/2021,3,7
