ALIES,RECURS,DATA,HORA,MINUT
Cherida,Trippledex,6/12/2021,24,55
Kirsteni,Ventosanzap,29/1/2021,5,24
Gage,Stringtough,24/12/2020,19,30
Janetta,Alphazap,24/12/2020,5,24
Frank,Konklab,28/7/2021,6,20
Hubert,Tampflex,17/6/2021,0,18
Inessa,Zathin,8/1/2021,18,25
Rusty,Veribet,1/7/2021,2,10
Vladamir,Biodex,2/4/2021,10,32
Kimberly,Tin,9/8/2021,16,36
Domingo,Cardguard,23/5/2021,16,1
Udell,Konklab,30/10/2020,10,47
Quinton,Tres-Zap,12/12/2020,13,50
Frank,Zoolab,23/11/2021,19,43
Saw,Zontrax,3/11/2021,2,37
Waite,Cookley,4/10/2020,10,38
Innis,Stronghold,30/11/2021,5,24
Frederigo,Transcof,15/11/2020,14,19
Byran,Gembucket,15/10/2020,11,49
Raynell,Viva,18/10/2020,21,43
Itch,Bamity,9/10/2020,10,50
Poul,Hatity,28/7/2021,0,6
Clarine,Voyatouch,20/12/2020,9,39
Bernhard,Cardify,28/9/2020,17,42
Pietra,Job,30/10/2020,20,9
Garvin,It,23/12/2020,0,35
Dulce,Redhold,24/12/2020,24,49
Evanne,Wrapsafe,23/1/2021,4,17
Missie,Vagram,24/11/2021,21,8
Connor,Alpha,8/1/2021,1,21
Cheri,Domainer,8/8/2021,10,38
Jordain,Flexidy,23/9/2020,14,18
Lenna,Sub-Ex,28/2/2021,13,8
Gardie,Otcom,25/1/2021,19,55
Ally,Lotlux,3/6/2021,5,9
Cheri,Bigtax,6/9/2021,23,35
Lenna,Aerified,29/11/2020,7,21
Connor,Vagram,16/11/2021,8,56
Ashla,Span,1/3/2021,8,53
Erich,Alpha,12/6/2021,9,32
Minnaminnie,Tin,26/9/2020,9,21
Olva,Bytecard,24/8/2021,2,18
Storm,Bamity,7/11/2020,5,39
Kelcie,Asoka,27/4/2021,21,50
Lela,Job,3/6/2021,20,51
Dominique,Andalax,28/8/2021,2,48
Jewelle,Alpha,20/10/2021,7,33
Lucita,Rank,21/12/2020,22,38
Lenna,Andalax,1/9/2021,8,41
Emory,Asoka,18/3/2021,18,49
Fairfax,Lotlux,20/11/2020,4,7
Harmonia,Alphazap,2/12/2021,15,36
Virge,Asoka,24/6/2021,16,10
Reggis,Alphazap,29/11/2021,11,38
Patricio,Bytecard,19/2/2021,15,52
Gerti,Mat Lam Tam,11/5/2021,18,59
Kermit,Overhold,11/9/2020,21,48
Ozzie,Stringtough,22/11/2020,18,12
Delaney,Solarbreeze,27/9/2020,3,30
Suellen,Stronghold,31/7/2021,22,26
Genovera,Overhold,3/2/2021,12,24
Harmonia,Zontrax,11/4/2021,0,16
Kerry,Tin,18/7/2021,20,41
Erek,Tresom,12/2/2021,20,9
Christabella,Overhold,11/7/2021,10,1
Fawne,Duobam,27/7/2021,20,53
Kelcie,Stronghold,5/10/2021,19,14
Nial,Flowdesk,19/12/2020,13,26
Donetta,Span,27/5/2021,9,51
Bartlett,Latlux,20/11/2021,5,43
Pippo,Job,21/6/2021,14,21
Ashly,Matsoft,30/7/2021,9,1
Harmonia,Sonsing,26/1/2021,17,38
Raquela,Flowdesk,14/11/2020,10,3
Marne,Matsoft,5/4/2021,10,6
Janaya,Greenlam,10/6/2021,0,24
Sheeree,Konklux,6/9/2020,20,37
Gabe,Andalax,20/3/2021,19,6
Claire,Stronghold,15/10/2020,0,46
Derril,Span,18/11/2021,7,26
Chiquia,Toughjoyfax,15/6/2021,18,32
Dannie,Biodex,24/10/2020,0,57
Blithe,Overhold,29/9/2020,15,4
Judith,Y-find,15/2/2021,10,46
Mortie,Sonsing,3/1/2021,1,39
Erminia,Overhold,25/3/2021,18,11
Genovera,Cookley,9/4/2021,1,59
Peyton,Y-Solowarm,1/12/2021,9,15
Iormina,Bitwolf,14/1/2021,12,17
Osgood,Veribet,31/10/2020,24,39
Sharline,Y-find,8/4/2021,12,54
Filippo,Tampflex,14/11/2020,4,52
Jefferey,Zamit,19/11/2020,5,33
Warden,Sonair,9/12/2020,4,14
Missie,Biodex,2/1/2021,9,12
Greg,Aerified,16/4/2021,18,28
Eartha,Flexidy,5/9/2020,24,13
Hyatt,Domainer,1/12/2020,8,45
Archer,Transcof,21/1/2021,19,57
Jefferey,Toughjoyfax,17/8/2021,3,19
Dorena,Stringtough,5/4/2021,16,8
Hyacinthia,Alpha,24/9/2020,6,41
Myles,Holdlamis,30/11/2021,12,38
Alfreda,Tampflex,27/3/2021,23,47
Pearce,Zontrax,21/12/2020,12,1
Yancey,Namfix,7/12/2021,24,7
Benedikta,Aerified,22/3/2021,16,43
Rooney,Namfix,30/11/2021,22,8
Madeline,Fix San,26/10/2021,4,15
Alvis,Gembucket,19/7/2021,12,13
Vickie,Fix San,13/11/2020,4,20
Patton,Tampflex,1/2/2021,9,36
Caroljean,Stim,2/11/2020,10,5
Ransell,Transcof,6/4/2021,17,27
Garrick,Quo Lux,19/9/2021,10,10
Caprice,Sonsing,26/5/2021,24,20
Miguela,Aerified,28/4/2021,0,39
Anallise,Sonsing,3/11/2020,1,50
Angelia,Bamity,17/12/2020,14,6
Rik,Treeflex,22/8/2021,22,8
Brita,Prodder,12/3/2021,8,34
Helenka,Lotstring,21/1/2021,6,30
Alasdair,Lotlux,24/10/2021,11,12
Fawnia,Opela,7/12/2020,15,38
Chelsea,Zontrax,17/6/2021,5,56
Frank,Tempsoft,3/5/2021,22,58
Kalie,Gembucket,29/11/2020,3,51
Gwenette,Holdlamis,17/6/2021,0,57
Nelson,Flowdesk,5/11/2021,17,24
Clo,Alphazap,6/8/2021,2,55
Norean,Daltfresh,19/6/2021,12,45
Melosa,Alpha,15/7/2021,23,24
Glendon,Opela,4/9/2021,23,54
Daveta,It,21/10/2020,18,45
Lenna,Gembucket,3/6/2021,18,21
Wyndham,Sonair,18/1/2021,9,37
Frank,Fix San,17/10/2021,9,25
Ashleigh,Y-find,11/1/2021,23,2
Carrissa,Zaam-Dox,17/9/2020,0,29
Sandor,Overhold,30/3/2021,16,51
Shae,Quo Lux,30/3/2021,14,11
Hogan,Flowdesk,27/7/2021,14,58
Garv,Prodder,16/5/2021,20,54
Frank,Veribet,12/11/2020,10,14
Kyrstin,Transcof,1/5/2021,0,16
Bettine,Domainer,11/10/2020,0,22
Lacey,Quo Lux,8/2/2021,2,8
Forrester,Gembucket,12/10/2020,20,51
Sidnee,Tresom,12/10/2021,13,0
Susy,Lotlux,25/10/2020,0,37
Harmonia,Tempsoft,3/3/2021,1,37
Leonie,Kanlam,4/6/2021,9,51
Roth,Y-find,7/9/2021,13,31
Ally,Opela,20/5/2021,13,58
Odessa,Tin,31/5/2021,14,56
Connor,Job,6/11/2020,8,54
Kev,Tresom,15/9/2021,17,22
Harmonia,Andalax,15/9/2021,7,29
Cheri,Trippledex,14/4/2021,4,34
Desdemona,Stronghold,7/4/2021,0,52
Jacquenetta,Daltfresh,9/10/2021,17,44
Connor,Stringtough,31/8/2021,6,26
Yorgo,Greenlam,1/2/2021,5,3
Cheri,Flowdesk,8/9/2021,0,14
Eberhard,Y-Solowarm,13/10/2020,17,30
Kearney,Zamit,22/12/2020,20,53
Maxie,Keylex,11/3/2021,6,40
Felix,Mat Lam Tam,21/1/2021,6,0
Harmonia,Sub-Ex,28/9/2021,23,55
Wren,Veribet,9/11/2021,18,46
Corbie,Daltfresh,6/11/2021,1,0
Lindi,Greenlam,5/9/2020,2,58
Allyson,Duobam,27/11/2021,22,17
Alexa,Stringtough,9/11/2021,14,34
Brent,Tresom,28/5/2021,7,59
Matthaeus,Fixflex,31/12/2020,1,41
Stern,Konklab,23/3/2021,24,3
Jordanna,Greenlam,5/12/2021,18,42
Walden,Bitchip,29/10/2020,10,32
Barb,Sonsing,5/12/2021,11,47
Carine,Gembucket,12/10/2020,23,36
Tedda,Sonsing,8/5/2021,5,42
Cornelia,Overhold,26/10/2021,0,15
Manuel,Overhold,16/2/2021,3,12
Aguste,Hatity,27/2/2021,18,12
Felisha,Opela,14/6/2021,24,43
Zarla,Treeflex,6/10/2021,18,57
Rafferty,Lotstring,13/5/2021,24,43
Sherwynd,Overhold,25/3/2021,17,33
Eddy,Toughjoyfax,23/10/2021,10,29
Gabriell,Hatity,8/10/2021,19,51
Christie,Zamit,7/9/2021,14,42
Veronike,Voltsillam,20/11/2020,23,16
Armin,Transcof,12/9/2020,10,12
Alene,Toughjoyfax,30/12/2020,22,44
Krista,Quo Lux,24/11/2020,3,25
Horten,Konklab,17/7/2021,17,50
Christi,Pannier,8/2/2021,22,27
Letisha,Ronstring,23/3/2021,9,53
Lezlie,Flexidy,21/11/2020,11,44
Lenna,Veribet,25/10/2020,9,1
Pryce,Tampflex,14/8/2021,20,1
Son,Solarbreeze,3/10/2021,5,19
Lenna,Fix San,18/3/2021,9,37
Bernelle,Ronstring,22/4/2021,3,58
Emmey,Transcof,15/9/2020,24,57
Lenna,Pannier,13/8/2021,16,12
Talbert,Rank,14/3/2021,7,57
Aubrie,Flowdesk,29/3/2021,5,16
Marthena,Alpha,18/11/2020,9,34
Luciana,Andalax,5/1/2021,5,3
Karel,Aerified,21/9/2021,19,40
Peggy,It,6/8/2021,6,0
Axel,Stim,18/11/2021,1,35
Christoforo,Solarbreeze,21/12/2020,8,59
Fraser,Zoolab,20/11/2021,9,30
Blake,Tampflex,20/10/2020,3,23
Ambros,Tres-Zap,18/8/2021,8,17
Keslie,Veribet,23/1/2021,24,46
Katuscha,Bamity,26/8/2021,16,12
Missie,Prodder,17/4/2021,3,19
Brocky,Biodex,28/1/2021,12,53
Layne,Keylex,4/7/2021,3,32
Ebonee,Fix San,16/11/2020,5,3
Josie,Bytecard,3/9/2021,17,14
Biddie,Alpha,14/10/2021,14,17
Ivan,Latlux,15/11/2020,11,15
Daphene,Ronstring,1/12/2020,17,54
Milzie,Span,26/4/2021,5,50
Johnette,Overhold,8/9/2021,12,22
Ardenia,Gembucket,11/11/2020,1,30
Jozef,Konklux,1/12/2021,13,51
Catlin,Latlux,30/6/2021,1,34
Kassia,Zontrax,19/6/2021,14,49
Angeli,Duobam,19/11/2021,14,6
Carissa,Voltsillam,9/11/2020,18,8
Rachelle,Voltsillam,11/10/2020,13,1
Brod,Namfix,23/11/2020,13,20
Brandy,Lotstring,21/12/2020,6,49
Lani,Stringtough,20/11/2020,8,10
Antony,Prodder,20/4/2021,19,18
Davie,Viva,2/9/2020,22,4
Clarinda,Zaam-Dox,14/9/2021,13,0
Stanford,Otcom,18/1/2021,0,38
Elli,Holdlamis,25/1/2021,20,24
Isabelita,Temp,4/3/2021,7,25
Brod,Tampflex,4/6/2021,12,11
Helga,Redhold,14/6/2021,17,21
Trefor,Redhold,7/6/2021,24,33
Connor,Tin,17/1/2021,11,31
Winnie,Latlux,9/10/2021,15,54
Maude,Stronghold,13/4/2021,7,23
Harmonia,Bitchip,11/3/2021,0,14
Cheri,Cardguard,30/11/2020,8,55
Lyndsie,Bigtax,6/11/2020,10,42
Ally,Stringtough,20/6/2021,17,50
Harmonia,Asoka,28/12/2020,2,39
Cheri,Stronghold,12/2/2021,24,13
Jefferey,Regrant,12/7/2021,11,54
Frank,Stringtough,17/7/2021,24,3
Connor,Alphazap,18/8/2021,15,33
Mommy,Fintone,16/3/2021,15,12
Gualterio,Voltsillam,14/8/2021,8,8
Harmonia,Stronghold,20/3/2021,14,1
Claudine,Cardguard,9/4/2021,19,36
Lenna,Namfix,18/8/2021,10,6
Artemas,Domainer,25/2/2021,14,19
Gabriello,Hatity,15/7/2021,6,4
Alis,Lotstring,8/8/2021,23,23
Parke,Aerified,25/9/2021,3,47
Lenna,Sonsing,30/8/2021,6,46
Frank,Voyatouch,24/11/2020,17,42
Marie-jeanne,Zathin,6/10/2020,9,32
Teresita,Konklux,11/11/2021,3,54
Bennett,Cardify,8/1/2021,12,10
Maxim,Matsoft,19/2/2021,3,11
Rennie,Stim,4/12/2020,3,25
Dorine,Wrapsafe,11/10/2021,3,37
Lenna,Sonsing,30/1/2021,15,31
Victor,Hatity,22/5/2021,2,38
Dorie,Matsoft,23/2/2021,4,7
Oneida,Otcom,2/1/2021,13,17
Iris,Duobam,11/6/2021,24,42
Norma,Zontrax,15/10/2021,14,7
Lenna,Span,17/2/2021,22,2
Crawford,Flowdesk,14/12/2020,3,47
Keen,Cardify,13/3/2021,10,22
Sherm,Ventosanzap,11/6/2021,1,6
Fannie,Voyatouch,12/6/2021,10,57
Caryl,Prodder,23/4/2021,11,22
Lenna,Alphazap,21/10/2020,21,36
Reba,Fixflex,16/5/2021,20,10
Paloma,Hatity,20/12/2020,12,56
Joyann,Domainer,30/9/2020,2,17
Nichole,Veribet,22/2/2021,22,56
Duke,Konklab,16/9/2020,8,47
Tuesday,Sonair,14/11/2020,10,54
Arv,Overhold,1/4/2021,10,30
Clare,Flowdesk,31/7/2021,3,41
Lenna,Overhold,24/6/2021,12,3
Stephenie,Temp,16/10/2020,0,24
Genny,Job,26/4/2021,11,39
Taffy,Lotstring,16/9/2020,4,13
Dniren,Sub-Ex,8/1/2021,1,45
Mile,Duobam,24/5/2021,6,1
Gram,Daltfresh,13/10/2021,21,58
Cristiano,It,20/3/2021,10,37
Corrianne,Asoka,6/11/2020,13,42
Skippy,Span,17/9/2020,9,32
Lari,Namfix,25/10/2020,5,33
Boy,Subin,9/12/2021,1,9
Hall,Overhold,22/3/2021,9,7
Rosemarie,It,16/1/2021,20,33
Rourke,Overhold,29/11/2021,18,15
Urbano,Alphazap,27/12/2020,22,46
Guenna,Ventosanzap,4/8/2021,4,29
Sande,Bytecard,7/2/2021,13,43
Myrtice,Biodex,13/10/2020,11,55
Missie,Gembucket,26/7/2021,5,49
Lauree,Prodder,31/10/2021,19,4
Monty,Latlux,10/5/2021,9,3
Ysabel,Toughjoyfax,2/2/2021,6,25
Lennie,Mat Lam Tam,27/1/2021,19,38
Hailee,Y-Solowarm,22/1/2021,11,38
Cheston,Zamit,14/9/2021,3,25
Omero,Voltsillam,11/8/2021,23,20
Aristotle,Redhold,26/2/2021,0,40
Rhodie,Tin,15/10/2020,8,43
Theobald,Home Ing,12/11/2020,15,52
Wynny,Bytecard,13/12/2020,8,55
Enrica,Bitwolf,3/7/2021,2,8
Mario,Sonair,1/11/2020,10,29
Ema,Tampflex,1/7/2021,13,33
Tallie,Tempsoft,8/11/2021,3,53
Cynthia,Y-Solowarm,2/2/2021,1,55
Audry,Redhold,8/7/2021,8,21
Karlis,Hatity,12/12/2020,2,0
Haven,Vagram,11/11/2021,1,17
Sylvan,Kanlam,26/10/2020,2,26
Kevon,Stringtough,3/5/2021,2,11
Lillian,Bamity,12/7/2021,2,21
Happy,Alpha,27/11/2020,20,52
Nicki,Duobam,15/8/2021,17,37
Ami,Subin,22/4/2021,6,11
Donny,Holdlamis,23/11/2020,7,11
Stacey,Matsoft,18/12/2020,6,10
Connor,Biodex,28/2/2021,2,39
Judi,Trippledex,9/10/2021,11,39
Donall,Opela,14/11/2021,21,5
Cheri,Ventosanzap,22/9/2020,1,10
Ally,Daltfresh,29/12/2020,4,17
Cheri,Kanlam,23/12/2020,17,7
Deborah,Matsoft,18/10/2020,22,37
Connor,Wrapsafe,7/12/2020,5,25
Fidelio,Alpha,24/7/2021,1,25
Ally,Hatity,15/9/2021,23,16
Lenna,Sonair,1/9/2021,6,44
Harmonia,Zoolab,14/9/2020,22,22
Jefferey,Voyatouch,16/4/2021,2,32
Edan,Subin,18/3/2021,8,20
Tanitansy,Cardify,26/8/2021,19,14
Lenna,Cookley,26/9/2021,8,4
Connor,Job,16/11/2020,0,56
Sancho,Home Ing,21/9/2021,18,12
Fulvia,Regrant,11/10/2020,23,14
Evan,Flexidy,17/9/2021,3,28
Lenna,Y-Solowarm,9/10/2021,22,31
Ibrahim,Ventosanzap,24/7/2021,10,51
Augie,Job,21/1/2021,18,43
Candide,Asoka,21/9/2021,20,31
Aigneis,Tres-Zap,28/10/2021,5,52
Alikee,Latlux,1/10/2020,23,25
Ofelia,Tampflex,31/1/2021,2,42
Conrad,Otcom,20/11/2021,4,44
Lenna,Lotstring,14/1/2021,20,22
Fitzgerald,Solarbreeze,12/2/2021,15,16
Paulie,Cookley,3/4/2021,18,16
Corenda,Prodder,23/7/2021,14,29
Mar,Mat Lam Tam,30/1/2021,14,59
Shurwood,Biodex,6/1/2021,7,9
Bess,Konklux,3/12/2020,9,40
Carlynne,Voyatouch,28/3/2021,17,52
Baron,Keylex,12/9/2021,6,3
Ervin,Tampflex,6/2/2021,22,15
Travis,Matsoft,4/10/2020,21,39
Fons,Biodex,13/9/2020,12,26
Cobbie,Stronghold,25/9/2021,3,48
Noll,Otcom,16/1/2021,18,8
Dasha,Tampflex,20/11/2021,17,16
Shani,Pannier,12/4/2021,21,38
Raddie,Zathin,5/10/2021,16,18
Charles,Stronghold,11/10/2020,9,1
Jaquenette,It,27/10/2021,5,35
Kora,Sonair,13/9/2020,6,31
Orly,Hatity,4/5/2021,8,9
Christoffer,Solarbreeze,25/10/2020,1,39
Lucina,Matsoft,14/2/2021,0,48
Doralynn,Solarbreeze,5/1/2021,9,50
Eunice,Quo Lux,25/9/2020,6,16
Celestyna,Hatity,7/9/2021,24,42
Sidonia,Tin,9/9/2020,1,1
Gusty,Y-find,22/9/2021,16,19
Matilda,Cardify,10/2/2021,16,11
Teresita,Asoka,4/12/2021,14,33
Helyn,It,7/8/2021,17,1
Armin,Overhold,4/10/2020,11,43
Barnebas,Tampflex,4/10/2021,20,19
Danya,Solarbreeze,2/10/2021,14,31
Marylynne,Greenlam,18/1/2021,10,2
Sherline,Transcof,14/10/2020,19,40
Kendall,Cardguard,16/11/2020,19,13
Frank,Prodder,19/8/2021,14,57
Antin,Overhold,22/9/2021,20,27
Darbee,Bytecard,26/1/2021,20,52
Norbert,Bamity,3/1/2021,7,25
Karin,Biodex,27/12/2020,16,43
Stern,Konklux,26/12/2020,20,40
Connor,Alphazap,20/2/2021,23,33
Kerrin,Holdlamis,26/3/2021,20,7
Benedetta,Trippledex,7/7/2021,20,43
Frank,Overhold,3/7/2021,15,45
Harmonia,Stim,16/10/2020,20,42
Ginger,Lotstring,27/8/2021,4,11
Connor,Prodder,24/11/2021,16,24
Lenna,Tempsoft,23/1/2021,4,23
Zulema,Tresom,14/9/2020,1,44
Thor,Alpha,6/11/2021,3,23
Arthur,Regrant,28/3/2021,7,24
Tremaine,Trippledex,27/8/2021,19,6
Travers,Viva,7/5/2021,21,42
Kip,Ventosanzap,2/8/2021,12,36
Ebony,Hatity,3/3/2021,21,9
Frank,Transcof,20/10/2020,0,55
Cammy,Lotlux,16/11/2020,7,42
Inesita,Daltfresh,3/4/2021,21,5
Lenna,Voyatouch,2/8/2021,17,2
Amandie,Opela,13/9/2020,13,0
Rafael,Quo Lux,27/8/2021,22,42
Aleda,Stringtough,12/8/2021,5,49
Lenna,Zamit,27/10/2020,23,17
Caz,Tampflex,10/12/2020,7,24
Malory,Solarbreeze,30/3/2021,20,4
Dari,Alpha,8/10/2020,14,17
Hanson,Stim,23/2/2021,13,2
Illa,Lotstring,7/12/2020,19,2
Viki,Gembucket,7/3/2021,18,25
Rosalynd,Konklab,26/2/2021,0,5
Burnard,Zathin,2/9/2021,13,6
Wang,Viva,20/8/2021,19,33
Cheri,Latlux,7/4/2021,5,38
Lenna,Domainer,28/12/2020,0,36
Ally,Duobam,20/6/2021,0,58
Linus,Prodder,8/6/2021,8,24
Thorvald,Overhold,3/8/2021,17,19
Harmonia,Alpha,29/4/2021,6,34
Jefferey,Alpha,29/12/2020,16,30
Trever,Duobam,21/10/2020,2,18
Harp,Quo Lux,17/2/2021,9,11
Nico,Aerified,23/5/2021,2,26
Modesta,Bigtax,27/3/2021,23,31
Ivy,It,9/9/2020,6,23
Carol-jean,Zoolab,28/1/2021,20,22
Kelli,Temp,15/10/2020,16,5
Catharina,Aerified,9/6/2021,12,47
Sharlene,Prodder,18/4/2021,19,5
Justin,Greenlam,21/2/2021,9,38
Hodge,Hatity,27/4/2021,17,58
Loydie,Opela,5/10/2020,9,39
Hanny,Fixflex,11/6/2021,6,31
Thatch,Stim,21/6/2021,0,16
Daron,Veribet,22/7/2021,15,43
Atalanta,Wrapsafe,1/5/2021,23,3
Tressa,Hatity,7/1/2021,11,5
Michal,Ronstring,11/2/2021,3,16
Debi,Redhold,14/12/2021,0,35
Nikaniki,Bytecard,28/10/2021,10,51
Angel,Zaam-Dox,26/10/2020,21,14
Zelda,Overhold,6/2/2021,21,7
Dory,Veribet,16/6/2021,2,50
Natala,Daltfresh,29/10/2020,11,7
Lenna,Sonair,15/10/2020,8,5
Nessi,Stronghold,12/11/2020,9,16
Christabella,Alphazap,11/2/2021,24,1
Lenna,Biodex,11/4/2021,4,58
Sacha,Zontrax,12/11/2020,13,24
Tootsie,Zathin,18/10/2020,21,44
Charity,Domainer,3/9/2020,15,21
Lenna,Treeflex,16/10/2021,22,31
Bondy,Tresom,23/12/2020,20,52
Denyse,Alpha,23/6/2021,5,32
Ally,Opela,3/11/2020,14,16
Lenna,Viva,4/3/2021,8,31
Frank,Cardguard,29/11/2020,9,9
Allyn,Alphazap,18/2/2021,1,35
Moreen,Y-Solowarm,30/11/2020,9,31
Christoffer,Span,27/10/2021,10,57
Roxana,Trippledex,28/5/2021,8,35
Frank,Bitchip,17/6/2021,23,49
Yvon,Redhold,17/3/2021,1,28
